Symbol,Side,Qty,Fill Price,Commission,Closing Time
AMEX:EQX,Buy,67.62,13.42,0,2026-08-27 00:00:00
NASDAQ:META,Buy,2,546.4,0,2026-08-21 00:00:00
AMEX:SPY,Sell,1.5,771.92,0,2026-08-07 00:00:00
AMEX:EQX,Buy,90,11.48,0,2026-08-07 00:00:00
AMEX:GLD,Buy,3,398.71,0,2026-08-07 00:00:00
AMEX:SPY,Sell,1.5,770.66,0,2026-08-07 00:00:00
AMEX:SPY,Sell,0.162,772.16,0,2026-08-04 00:00:00
NASDAQ:MSFT,Sell,0.2629,495.53,0,2026-08-04 00:00:00
NASDAQ:OPEN,Sell,275.65,4.2,0,2026-08-04 00:00:00
NYSE:ORCL,Buy,5,126.71,0,2026-07-30 00:00:00
NASDAQ:OPEN,Buy,121.42,3.98,0,2026-07-27 00:00:00
NASDAQ:MSFT,Buy,2.32,383.64,0,2026-07-01 00:00:00
NASDAQ:IBIT,Sell,24.92,40.55,0,2026-06-01 00:00:00
NASDAQ:OPEN,Buy,7.18,4.89,0,2026-05-08 00:00:00
NYSE:ORCL,Buy,3,175.27,0,2026-04-16 00:00:00
NASDAQ:MSFT,Buy,1.92,371.51,0,2026-04-02 00:00:00
NASDAQ:OPEN,Buy,74,4.78,0,2026-04-01 00:00:00
AMEX:USO,Sell,8.54,123.39,0,2026-04-01 00:00:00
NASDAQ:IBIT,Buy,24.92,40.11,0,2026-03-11 00:00:00
AMEX:SPY,Buy,1.64,677.47,0,2026-03-09 00:00:00
AMEX:USO,Buy,6.76,116.49,0,2026-03-09 00:00:00
NASDAQ:GOOGL,Sell,2,299.41,0,2026-03-06 00:00:00
NYSE:B,Sell,10.29,45.39,0,2026-03-06 00:00:00
AMEX:EQX,Sell,20.09,16.58,0,2026-03-06 00:00:00
NYSE:HL,Sell,10.81,20.58,0,2026-03-06 00:00:00
AMEX:USO,Buy,1.77,98.34,0,2026-03-05 00:00:00
NASDAQ:OPEN,Buy,47.2,4.96,0,2026-02-02 00:00:00
NASDAQ:META,Sell,0.9123,711.77,0,2026-02-02 00:00:00
NASDAQ:META,Buy,0.7806,659.79,0,2026-01-23 00:00:00
NASDAQ:ETHA,Sell,15.11,22.18,0,2026-01-22 00:00:00
NASDAQ:IBIT,Sell,9.9,50.4,0,2026-01-22 00:00:00
AMEX:EQX,Buy,20.09,14.93,0,2026-01-20 00:00:00
NYSE:HL,Buy,10.81,27.75,0,2026-01-20 00:00:00
NYSE:B,Buy,5.29,49.47,0,2026-01-13 00:00:00
AMEX:VTI,Sell,1.25,342,0,2026-01-12 00:00:00
NASDAQ:QQQ,Sell,0.2948,625.9,0,2026-01-12 00:00:00
NASDAQ:NDAQ,Sell,1.07,100.39,0,2026-01-07 00:00:00
NASDAQ:OPEN,Buy,9.9,5.69,0,2025-12-30 00:00:00
NASDAQ:IBIT,Buy,1.79,48.49,0,2025-12-17 00:00:00
NASDAQ:ETHA,Buy,2,21.11,0,2025-12-17 00:00:00
NASDAQ:ETHA,Buy,6.77,24.08,0,2025-12-11 00:00:00
NASDAQ:IBIT,Buy,2.41,51.34,0,2025-12-11 00:00:00
AMEX:SPY,Buy,0.7297,685.2,0,2025-12-11 00:00:00
NYSE:B,Buy,2.08,41.27,0,2025-12-11 00:00:00
NASDAQ:IBIT,Buy,0.6996,55.85,0,2025-11-13 00:00:00
