Closing Time,Symbol,Fill Price,Qty,Side
2026-08-25,NASDAQ:APP,309.26,4,Buy
2026-01-23,NASDAQ:AUGO,70,5.71,Buy
2026-03-06,NASDAQ:AUGO,81.02,5.71,Sell
2026-06-08,NYSE:CRM,183.67,3,Buy
2026-07-24,NYSE:CRM,161.18,3,Sell
2026-08-26,NYSE:CRM,205.54,5,Buy
2026-08-27,NYSE:CRM,249.04,5,Sell
2025-10-28,BYMA:EEM,55.54,3,Buy
2026-02-06,BYMA:EEM,59.58,10.89,Buy
2026-03-09,BYMA:EEM,56.81,13.92,Sell
2026-04-16,NASDAQ:HOOD,86.03,7.42,Buy
2026-08-24,NASDAQ:HOOD,105.18,7.42,Sell
2026-06-02,NYSE:HUBS,231.27,2.5,Buy
2026-07-30,NYSE:HUBS,232.31,2.5,Sell
2026-06-02,BATS:IGV,103.72,3.95,Buy
2026-08-04,BATS:IGV,101.28,3.95,Sell
2026-01-14,NASDAQ:MSTR,183.13,1.47,Buy
2026-01-28,NASDAQ:MSTR,159.23,1.47,Sell
2026-01-20,NASDAQ:MU,376.93,1,Buy
2026-03-10,NASDAQ:MU,410,1.43,Buy
2026-06-04,NASDAQ:MU,992.87,2.43,Sell
2026-07-28,NASDAQ:MU,818.35,1.22,Buy
2026-08-03,NASDAQ:MU,779.13,1.28,Buy
2026-08-04,NASDAQ:MU,898.6,0.5054,Sell
2026-08-27,NASDAQ:MU,932.61,2,Sell
2026-05-11,NYSE:NOW,91.94,6.52,Buy
2026-07-30,NYSE:NOW,109.81,5,Buy
2026-08-26,NASDAQ:NVDA,209.73,4.76,Buy
2026-08-27,NASDAQ:NVDA,225.31,4.76,Sell
2026-08-13,NYSE:OKLO,45.97,10,Buy
2026-08-20,NYSE:OKLO,41.15,10,Sell
2026-08-26,NASDAQ:OKTA,130.28,7.67,Buy
2026-08-27,NASDAQ:OKTA,164.57,7.67,Sell
2025-10-16,NYSE:PAAS,41.11,3.93,Buy
2026-01-13,NYSE:PAAS,56.67,4.86,Buy
2026-03-06,NYSE:PAAS,59.68,8.81,Sell
2026-08-07,NYSE:PAAS,50.9,20,Buy
2026-08-13,NYSE:PAAS,47.67,20,Sell
2026-03-10,NASDAQ:RING,90.02,5,Buy
2026-03-19,NASDAQ:RING,71.52,5,Sell
2026-04-01,NASDAQ:RING,83.33,6,Buy
2026-08-04,NASDAQ:RING,67.38,6.03,Sell
2026-06-08,NASDAQ:TEAM,99.23,10.07,Buy
2026-03-02,NYSEARCA:VDE,160.21,3,Buy
2026-03-10,NYSEARCA:VDE,158.78,3,Sell
2026-03-09,NYSE:VIST,63.36,7.89,Buy
2026-03-10,NYSE:VIST,59.09,7.89,Sell
2026-03-19,NYSE:VIST,74.15,7.21,Buy
2026-04-01,NYSE:VIST,71.46,7.21,Sell
2026-03-09,NYSE:YPF,37.89,13.19,Buy
2026-03-10,NYSE:YPF,37.1,13.19,Sell
