Closing Time,Symbol,Fill Price,Qty,Side
2025-09-03T10:35:00Z,EQX,9.14,5.46,Buy
2025-09-09T10:33:00Z,EQX,9.89,1.36,Buy
2025-09-10T11:02:00Z,ORCL,341.71,0.05849,Buy
2025-09-11T15:17:00Z,ORCL,308.71,0.05849,Sell
2025-10-27T11:02:00Z,EQX,10.29,6.83,Sell
2026-01-20T10:36:00Z,EQX,14.93,20.09,Buy
2026-03-06T12:41:00Z,EQX,16.58,20.09,Sell
2026-04-16T11:06:00Z,ORCL,175.27,3,Buy
2026-05-11T10:43:00Z,NOW,91.94,6.52,Buy
2026-07-30T14:59:00Z,NOW,109.81,5,Buy
2026-07-30T15:00:00Z,ORCL,126.71,5,Buy
2026-08-07T10:30:00Z,EQX,11.48,90,Buy
2026-08-27T11:15:00Z,EQX,13.42,67.62,Buy
