"Symbol,Type,Date,Quantity,Price"
"IBIT,BUY,2025-09-03,3.15,63.42"
"ETHA,BUY,2025-09-03,5.94,33.61"
"VTI,BUY,2025-09-03,0.6305,317.19"
"GLD,BUY,2025-09-03,0.7619,328.13"
"RBLX,BUY,2025-09-03,0.3792,131.86"
"SPY,BUY,2025-09-03,0.311,643.12"
"EQX,BUY,2025-09-03,5.46,9.14"
"BMNR,BUY,2025-09-03,0.4421,45.22"
"AMDY,BUY,2025-09-03,0.5048,39.60"
"OPEN,BUY,2025-09-03,4.75,5.26"
"TSLA,BUY,2025-09-03,0.0588,339.97"
"MSFT,BUY,2025-09-03,0.0395,506.14"
"META,BUY,2025-09-03,0.0271,737.72"
"AAPL,BUY,2025-09-03,0.0845,236.43"
"GOOGL,BUY,2025-09-03,0.2172,230.24"
"AMZN,BUY,2025-09-03,0.1328,225.92"
"DAL,BUY,2025-09-03,0.4843,61.94"
"NDAQ,BUY,2025-09-03,1.06,93.52"
"NFLX,BUY,2025-09-03,0.4104,121.82"
"PLD,BUY,2025-09-03,0.0896,111.61"
"USO,BUY,2025-09-03,0.4004,74.92"
"CORN,BUY,2025-09-03,1.42,17.50"
"SLV,BUY,2025-09-03,1.33,37.47"
"UNG,BUY,2025-09-03,1.53,13.00"
"PLTR,BUY,2025-09-03,0.1258,158.89"
"SPHD,BUY,2025-09-04,1,49.57"
"HL,BUY,2025-09-04,3.35,8.94"
"B,BUY,2025-09-04,0.9203,27.16"
"ARKK,BUY,2025-09-04,1.34,74.34"
"SE,BUY,2025-09-04,0.162,185.21"
"IVV,BUY,2025-09-04,0.1544,647.66"
"OPEN,BUY,2025-09-05,2.25,6.65"
"DAL,SELL,2025-09-08,0.4843,61.73"
"OPEN,BUY,2025-09-09,3,6.16"
"ETHA,BUY,2025-09-09,0.3845,32.69"
"ARGT,BUY,2025-09-09,1.38,72.32"
"MELI,BUY,2025-09-09,0.0085,2362.94"
"GLD,BUY,2025-09-09,1,335.90"
"SPY,BUY,2025-09-09,0.4624,648.81"
"EQX,BUY,2025-09-09,1.36,9.89"
"QQQ,BUY,2025-09-09,0.1724,579.97"
"ORCL,BUY,2025-09-10,0.0585,341.71"
"OPEN,BUY,2025-09-10,1.47,5.69"
"ORCL,SELL,2025-09-11,0.0585,308.71"
"ARGT,SELL,2025-09-11,1.38,73.36"
"NVO,BUY,2025-09-12,1,54.90"
"AIRE,BUY,2025-09-12,0.4,34.49"
"AIRE,BUY,2025-09-12,1,42.99"
"AIRE,BUY,2025-09-12,0.16,37.74"
"PYPL,BUY,2025-09-23,1,68.19"
"GOOGL,BUY,2025-09-23,0.5806,251.48"
"QCOM,BUY,2025-09-23,1,170.43"
"META,BUY,2025-09-23,0.1045,765.72"
"OPEN,BUY,2025-09-23,4.45,8.03"
"IVV,SELL,2025-09-24,0.1547,666.18"
"SPHD,SELL,2025-09-24,1,48.95"
"NFLX,SELL,2025-09-24,0.4104,121.43"
"VTI,BUY,2025-09-29,0.618,327.00"
"FIG,BUY,2025-10-07,1,61.27"
"B,BUY,2025-10-07,2,33.94"
"HL,BUY,2025-10-07,4,12.39"
"BTG,BUY,2025-10-07,5,5.32"
"IREN,BUY,2025-10-07,2,57.48"
"QQQ,BUY,2025-10-07,0.122,604.97"
"IREN,SELL,2025-10-08,2,59.34"
"NBIS,BUY,2025-10-09,0.954,124.22"
"PLD,SELL,2025-10-13,0.0901,112.20"
"AAPL,SELL,2025-10-13,0.0845,246.88"
"CORN,SELL,2025-10-13,1.42,17.31"
"RBLX,SELL,2025-10-13,0.3792,128.91"
"SE,SELL,2025-10-13,0.162,183.36"
"USO,SELL,2025-10-13,0.4004,70.52"
"PAAS,BUY,2025-10-16,3.93,41.11"
"QCOM,SELL,2025-10-27,1,192.61"
"EQX,SELL,2025-10-27,6.83,10.29"
"HL,SELL,2025-10-27,7.35,12.12"
"GLD,SELL,2025-10-27,1.76,365.94"
"NBIS,SELL,2025-10-27,0.954,122.97"
"SLV,SELL,2025-10-27,1.33,41.78"
"UNG,SELL,2025-10-27,1.53,12.92"
"MELI,SELL,2025-10-27,0.0085,2277.38"
"BMNR,SELL,2025-10-27,0.4421,52.74"
"BTG,SELL,2025-10-27,5,4.84"
"NVO,SELL,2025-10-27,1,52.95"
"MSFT,BUY,2025-10-28,0.9605,541.79"
"ARKK,BUY,2025-10-28,2.65,89.79"
"GOOGL,BUY,2025-10-28,1.2,266.82"
"PLTR,SELL,2025-10-28,0.1258,188.92"
"TSLA,SELL,2025-10-28,0.0588,465.39"
"AMDY,SELL,2025-10-28,0.5598,51.12"
"EEM,BUY,2025-10-28,3,55.54"
"IBIT,BUY,2025-11-04,1.84,57.69"
"IBIT,BUY,2025-11-13,0.6996,55.85"
"B,BUY,2025-12-11,2.08,41.27"
"SPY,BUY,2025-12-11,0.7297,685.20"
"IBIT,BUY,2025-12-11,2.41,51.34"
"ETHA,BUY,2025-12-11,6.77,24.08"
"ETHA,BUY,2025-12-17,2,21.11"
"IBIT,BUY,2025-12-17,1.79,48.49"
"PYPL,SELL,2025-12-29,1,59.54"
"OPEN,BUY,2025-12-30,9.9,5.69"
"AIRE,SELL,2026-01-05,1.56,11.24"
"AMZN,SELL,2026-01-05,0.1328,233.54"
"FIG,SELL,2026-01-05,1,36.83"
