Closing Time,Symbol,Fill Price,Qty,Side
2026-08-25,APP,309.26,4, Buy 
2026-01-23,AUGO,70,5.71,Buy
2026-03-06,AUGO,81.02,5.71,Sell
2025-09-04,B,27.16,0.9203,Buy
2025-10-07,B,33.94,2,Buy
2025-12-11,B,41.27,2.08,Buy
2026-01-13,B,49.47,5.29,Buy
2026-03-06,B,45.39,10.29,Sell
2026-08-04,BATS:IGV,101.28,3.95,Sell
2026-06-02,BATS:IGV,103.72,3.95,Buy
2025-10-28,BYMA:EEM,55.54,3,Buy
2026-02-06,BYMA:EEM,59.58,10.89,Buy
2026-03-09,BYMA:EEM,56.81,13.92,Sell
2026-07-24,CRM,161.18,3,Sell
2026-06-08,CRM,183.67,3,Buy
2026-08-26,CRM,205.54,5, Buy 
2026-08-27,CRM,249.04,5, Sell 
2025-10-28,EEM,55.54,3,Buy
2026-02-06,EEM,59.58,10.89,Buy
2026-03-09,EEM,56.81,13.92,Sell
2025-09-09,ETHA,32.69,0.3845,Buy
2025-12-17,ETHA,21.11,2,Buy
2025-12-11,ETHA,24.08,6.77,Buy
2025-09-03,ETHA,33.61,5.94,Buy
2026-01-22,ETHA,22.18,15.11,Sell
2025-09-03,GLD,328.13,0.7619,Buy
2025-09-09,GLD,335.9,1,Buy
2025-10-27,GLD,365.94,1.76,Sell
2026-08-07,GLD,398.71,3,Buy
2025-09-03,GOOGL,230.24,0.2172,Buy
2025-09-23,GOOGL,251.48,0.5806,Buy
2025-10-28,GOOGL,266.82,1.2,Buy
2026-03-06,GOOGL,299.41,2,Sell
2026-04-16,HOOD,86.03,7.42,Buy
2026-08-24,HOOD,105.18,7.42, Sell 
2026-06-02,HUBS,231.27,2.5,Buy
2026-07-30,HUBS,232.31,2.5,Sell
2025-11-13,IBIT,55.85,0.6996,Buy
2025-12-17,IBIT,48.49,1.79,Buy
2025-11-04,IBIT,57.69,1.84,Buy
2025-12-11,IBIT,51.34,2.41,Buy
2025-09-03,IBIT,63.42,3.15, Buy 
2026-01-22,IBIT,50.4,9.9,Sell
2026-03-11,IBIT,40.11,24.92,Buy
2026-06-01,IBIT,40.55,24.92,Sell
2025-10-07,IREN,57.48,2,Buy
2025-10-08,IREN,59.34,2,Sell
2025-09-03,META,737.72,0.0271,Buy
2025-09-23,META,765.72,0.1045,Buy
2026-01-23,META,659.79,0.7806,Buy
2026-02-02,META,711.77,0.9123,Sell
2026-08-21,META,546.4,2, Buy 
2025-09-03,MSFT,506.14,0.0395,Buy
2026-08-04,MSFT,495.53,0.2629,Sell
2025-10-28,MSFT,541.79,0.9605,Buy
2026-04-02,MSFT,371.51,1.92,Buy
2026-07-01,MSFT,383.64,2.32,Buy
2026-01-28,MSTR,159.23,1.47,Sell
2026-01-14,MSTR,183.13,1.47,Buy
2026-01-20,MU,376.93,1,Buy
2026-08-04,MU,898.6,0.5054,Sell
2026-03-10,MU,410,1.43,Buy
2026-08-03,MU,779.13,1.28,Buy
2026-07-28,MU,818.35,1.22, Buy 
2026-08-27,MU,932.61,2, Sell 
2026-06-04,MU,992.87,2.43,Sell
2026-08-25,NASDAQ:APP,309.26,4,Buy
2026-01-23,NASDAQ:AUGO,70,5.71,Buy
2026-03-06,NASDAQ:AUGO,81.02,5.71,Sell
2026-04-16,NASDAQ:HOOD,86.03,7.42,Buy
2026-08-24,NASDAQ:HOOD,105.18,7.42,Sell
2026-01-28,NASDAQ:MSTR,159.23,1.47,Sell
2026-01-14,NASDAQ:MSTR,183.13,1.47,Buy
2026-01-20,NASDAQ:MU,376.93,1,Buy
2026-08-04,NASDAQ:MU,898.6,0.5054,Sell
2026-03-10,NASDAQ:MU,410,1.43,Buy
2026-08-03,NASDAQ:MU,779.13,1.28,Buy
2026-07-28,NASDAQ:MU,818.35,1.22,Buy
2026-08-27,NASDAQ:MU,932.61,2,Sell
2026-06-04,NASDAQ:MU,992.87,2.43,Sell
2026-08-26,NASDAQ:NVDA,209.73,4.76,Buy
2026-08-27,NASDAQ:NVDA,225.31,4.76,Sell
2026-08-26,NASDAQ:OKTA,130.28,7.67,Buy
2026-08-27,NASDAQ:OKTA,164.57,7.67,Sell
2026-03-19,NASDAQ:RING,71.52,5,Sell
2026-08-04,NASDAQ:RING,67.38,6.03,Sell
2026-03-10,NASDAQ:RING,90.02,5,Buy
2026-04-01,NASDAQ:RING,83.33,6,Buy
2026-06-08,NASDAQ:TEAM,99.23,10.07,Buy
2025-09-03,NDAQ,93.52,1.06,Buy
2026-01-07,NDAQ,100.39,1.07,Sell
2026-07-30,NOW,109.81,5,Buy
2026-05-11,NOW,91.94,6.52,Buy
2026-08-26,NVDA,209.73,4.76, Buy 
2026-08-27,NVDA,225.31,4.76, Sell 
2026-07-24,NYSE:CRM,161.18,3,Sell
2026-06-08,NYSE:CRM,183.67,3,Buy
2026-08-26,NYSE:CRM,205.54,5,Buy
2026-08-27,NYSE:CRM,249.04,5,Sell
2026-06-02,NYSE:HUBS,231.27,2.5,Buy
2026-07-30,NYSE:HUBS,232.31,2.5,Sell
2026-07-30,NYSE:NOW,109.81,5,Buy
2026-05-11,NYSE:NOW,91.94,6.52,Buy
2026-08-20,NYSE:OKLO,41.15,10,Sell
2026-08-13,NYSE:OKLO,45.97,10,Buy
2025-10-16,NYSE:PAAS,41.11,3.93,Buy
2026-01-13,NYSE:PAAS,56.67,4.86,Buy
2026-03-06,NYSE:PAAS,59.68,8.81,Sell
2026-08-13,NYSE:PAAS,47.67,20,Sell
2026-08-07,NYSE:PAAS,50.9,20,Buy
2026-03-10,NYSE:VIST,59.09,7.89,Sell
2026-03-09,NYSE:VIST,63.36,7.89,Buy
2026-04-01,NYSE:VIST,71.46,7.21,Sell
2026-03-19,NYSE:VIST,74.15,7.21,Buy
2026-03-10,NYSE:YPF,37.1,13.19,Sell
2026-03-09,NYSE:YPF,37.89,13.19,Buy
2026-03-10,NYSEARCA:VDE,158.78,3,Sell
2026-03-02,NYSEARCA:VDE,160.21,3,Buy
2026-08-20,OKLO,41.15,10, Sell 
2026-08-13,OKLO,45.97,10,Buy
2026-08-26,OKTA,130.28,7.67, Buy 
2026-08-27,OKTA,164.57,7.67, Sell 
2025-09-10,OPEN,5.69,1.47,Buy
2025-09-05,OPEN,6.65,2.25,Buy
2025-09-09,OPEN,6.16,3,Buy
2025-09-03,OPEN,5.26,4.75,Buy
2026-05-08,OPEN,4.89,7.18,Buy
2025-09-23,OPEN,8.03,4.45,Buy
2025-12-30,OPEN,5.69,9.9,Buy
2026-02-02,OPEN,4.96,47.2,Buy
2026-04-01,OPEN,4.78,74,Buy
2026-07-27,OPEN,3.98,121.42,Buy
2026-08-04,OPEN,4.2,275.65,Sell
2025-09-11,ORCL,308.71,0.0585,Sell
2025-09-10,ORCL,341.71,0.0585,Buy
2026-04-16,ORCL,175.27,3,Buy
2026-07-30,ORCL,126.71,5,Buy
2025-10-07,QQQ,604.97,0.122,Buy
2025-09-09,QQQ,579.97,0.1724,Buy
2026-01-12,QQQ,625.9,0.2948,Sell
2026-03-19,RING,71.52,5,Sell
2026-08-04,RING,67.38,6.03,Sell
2026-03-10,RING,90.02,5,Buy
2026-04-01,RING,83.33,6,Buy
2025-09-03,SLV,37.47,1.33,Buy
2025-10-27,SLV,41.78,1.33,Sell
2026-08-04,SPY,772.16,0.162,Sell
2025-09-03,SPY,643.12,0.311,Buy
2025-09-09,SPY,648.81,0.4624,Buy
2025-12-11,SPY,685.2,0.7297,Buy
2026-03-09,SPY,677.47,1.64,Buy
2026-08-07,SPY,770.66,1.5,Sell
2026-08-07,SPY,771.92,1.5, Sell 
2026-06-08,TEAM,99.23,10.07,Buy
2025-10-13,USO,70.52,0.4004,Sell
2025-09-03,USO,74.92,0.4004,Buy
2026-03-05,USO,98.34,1.77,Buy
2026-03-09,USO,116.49,6.76,Buy
2026-04-01,USO,123.39,8.54,Sell
2026-03-10,VDE,158.78,3,Sell
2026-03-02,VDE,160.21,3,Buy
2026-03-10,VIST,59.09,7.89,Sell
2026-03-09,VIST,63.36,7.89,Buy
2026-04-01,VIST,71.46,7.21,Sell
2026-03-19,VIST,74.15,7.21,Buy
2025-09-03,VTI,317.19,0.6305,Buy
2025-09-29,VTI,327,0.618,Buy
2026-01-12,VTI,342,1.25,Sell
2026-03-10,YPF,37.1,13.19,Sell
2026-03-09,YPF,37.89,13.19,Buy
